case,a,b,c,d,paired_alpha,paired_beta,paired_gamma,paired_delta,source_class,source_table_printed_count,corollary_A_negative,corollary_B_pair_negative,tested_ordered_prime_triples,negative_witness_triples,nonnegative_triples,empirical_status,sample_witnesses_json
0101,0,1,0,1,2,1,2,1,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -4, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -4, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -4, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0102,0,1,0,2,2,1,2,0,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -13, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -12, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -12, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -12, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -12, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -19, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -25, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -20, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0110,0,1,1,0,2,1,1,2,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 18, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 20, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 30, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -2, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 12, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
0111,0,1,1,1,2,1,1,1,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 10, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -2, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -2, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0112,0,1,1,2,2,1,1,0,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -4, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -4, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -4, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -4, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -4, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -3, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -4, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -4, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0120,0,1,2,0,2,1,0,2,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -2, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 10, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 16, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -2, ""exponent"": 20, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -2, ""exponent"": 26, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 10, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 16, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
0121,0,1,2,1,2,1,0,1,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -2, ""exponent"": 16, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0122,0,1,2,2,2,1,0,0,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -3, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -2, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -2, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0200,0,2,0,0,2,0,2,2,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -2, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -2, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -2, ""exponent"": 12, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -2, ""exponent"": 14, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -2, ""exponent"": 18, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -2, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -2, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -2, ""exponent"": 12, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
0201,0,2,0,1,2,0,2,1,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -3, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -4, ""exponent"": 10, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -4, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
