case,a,b,c,d,paired_alpha,paired_beta,paired_gamma,paired_delta,source_class,source_table_printed_count,corollary_A_negative,corollary_B_pair_negative,tested_ordered_prime_triples,negative_witness_triples,nonnegative_triples,empirical_status,sample_witnesses_json
0202,0,2,0,2,2,0,2,0,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -12, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -12, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -12, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -12, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -12, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -4, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -4, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -4, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0210,0,2,1,0,2,0,1,2,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -2, ""exponent"": 11, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 15, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -2, ""exponent"": 20, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 24, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -2, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -2, ""exponent"": 17, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
0211,0,2,1,1,2,0,1,1,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -2, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -2, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -2, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0212,0,2,1,2,2,0,1,0,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -5, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -5, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -5, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -5, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -5, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -5, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -5, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0220,0,2,2,0,2,0,0,2,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 7, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -2, ""exponent"": 10, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 15, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -2, ""exponent"": 18, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 23, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -3, ""exponent"": 5, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -2, ""exponent"": 10, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 15, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
0221,0,2,2,1,2,0,0,1,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0222,0,2,2,2,2,0,0,0,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -2, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -2, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -2, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -2, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -2, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -2, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -2, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
1000,1,0,0,0,1,2,2,2,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
1001,1,0,0,1,1,2,2,1,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -3, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 12, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 14, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 18, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -2, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -4, ""exponent"": 10, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 12, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
1002,1,0,0,2,1,2,2,0,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -2, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -12, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -12, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -12, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -12, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -8, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -10, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -16, ""exponent"": 10, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
1010,1,0,1,0,1,2,1,2,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 12, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 14, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 18, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 12, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
1011,1,0,1,1,1,2,1,1,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
1012,1,0,1,2,1,2,1,0,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -7, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -6, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -6, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -6, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -6, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -7, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -6, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
1020,1,0,2,0,1,2,0,2,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -2, ""exponent"": 10, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 14, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 16, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -2, ""exponent"": 24, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -2, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -2, ""exponent"": 10, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -2, ""exponent"": 16, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
1021,1,0,2,1,1,2,0,1,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 12, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 14, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 18, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 12, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
1022,1,0,2,2,1,2,0,0,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -3, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -3, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -3, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -3, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -3, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
1100,1,1,0,0,1,1,2,2,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 12, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 14, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 18, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 12, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
1101,1,1,0,1,1,1,2,1,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
1102,1,1,0,2,1,1,2,0,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -5, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -8, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -8, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -4, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
1110,1,1,1,0,1,1,1,2,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 14, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 18, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 26, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 30, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 22, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
1111,1,1,1,1,1,1,1,1,source_table_conditional,1,False,False,210,166,44,mixed_across_tested_ordered_triples,"[{""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,7,3""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,7,5""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,11,3""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,11,5""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,11,7""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,13,3""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,13,5""}]"
1112,1,1,1,2,1,1,1,0,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -2, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -2, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -2, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
1120,1,1,2,0,1,1,0,2,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -2, ""exponent"": 7, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -3, ""exponent"": 10, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 14, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 20, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -2, ""exponent"": 25, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 5, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 9, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -2, ""exponent"": 15, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
1121,1,1,2,1,1,1,0,1,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 10, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 14, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 22, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 26, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 34, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 14, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 22, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
1122,1,1,2,2,1,1,0,0,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 16, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
1200,1,2,0,0,1,0,2,2,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -2, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -2, ""exponent"": 9, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -2, ""exponent"": 12, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -2, ""exponent"": 15, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -2, ""exponent"": 18, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -2, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -2, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -2, ""exponent"": 13, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
1201,1,2,0,1,1,0,2,1,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 12, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 14, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 18, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 12, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
1202,1,2,0,2,1,0,2,0,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -4, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -4, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -4, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
